Senate Vote #277 2022-08-02T16:57:00 - S. 3373: Sergeant First Class Heath Robinson Honoring our Promise to Address Comprehensive Toxics Act of 2022
person,state,district,vote,name,party
412668,NC,,Nay,Sen. Thom Tillis [R],Republican
412669,SD,,Nay,Sen. Mike Rounds [R],Republican
412671,NE,,Nay,"Sen. Benjamin “Ben” Sasse [R, 2015-2023]",Republican
412679,LA,,Nay,"Sen. John Neely Kennedy [R, 2017-2028]",Republican
412680,NH,,Nay,"Sen. Margaret “Maggie” Hassan [D, 2017-2028]",Democrat
412681,NV,,Nay,"Sen. Catherine Cortez Masto [D, 2017-2028]",Democrat
412704,KS,,Yea,Sen. Roger Marshall [R],Republican
412715,NV,,Nay,Sen. Jacky Rosen [D],Democrat
412742,MN,,Nay,Sen. Tina Smith [D],Democrat
412743,MS,,Nay,Sen. Cindy Hyde-Smith [R],Republican
412838,FL,,Nay,Sen. Rick Scott [R],Republican
412839,IN,,Yea,Sen. Mike Braun [R],Republican
412840,MO,,Nay,Sen. Joshua “Josh” Hawley [R],Republican
412841,UT,,Nay,Sen. Mitt Romney [R],Republican
456794,AZ,,Nay,"Sen. Mark Kelly [D, 2020-2028]",Democrat
456796,AL,,Nay,Sen. Tommy Tuberville [R],Republican
456797,CO,,Nay,Sen. John Hickenlooper [D],Democrat
456798,TN,,Yea,Sen. Bill Hagerty [R],Republican
456856,CA,,Nay,"Sen. Alejandro “Alex” Padilla [D, 2021-2028]",Democrat
456857,GA,,Nay,Sen. Jon Ossoff [D],Democrat
456858,GA,,Nay,"Sen. Raphael Warnock [D, 2021-2028]",Democrat
