Senate Vote #59 2021-02-13T15:39:00 - Guilty or Not Guilty H.Res. 24
person,state,district,vote,name,party
412742,MN,,Guilty,Sen. Tina Smith [D],Democrat
412743,MS,,Not Guilty,Sen. Cindy Hyde-Smith [R],Republican
412838,FL,,Not Guilty,Sen. Rick Scott [R],Republican
412839,IN,,Not Guilty,Sen. Mike Braun [R],Republican
412840,MO,,Not Guilty,Sen. Joshua “Josh” Hawley [R],Republican
412841,UT,,Guilty,Sen. Mitt Romney [R],Republican
456794,AZ,,Guilty,"Sen. Mark Kelly [D, 2020-2028]",Democrat
456796,AL,,Not Guilty,Sen. Tommy Tuberville [R],Republican
456797,CO,,Guilty,Sen. John Hickenlooper [D],Democrat
456798,TN,,Not Guilty,Sen. Bill Hagerty [R],Republican
456856,CA,,Guilty,"Sen. Alejandro “Alex” Padilla [D, 2021-2028]",Democrat
456857,GA,,Guilty,Sen. Jon Ossoff [D],Democrat
456858,GA,,Guilty,"Sen. Raphael Warnock [D, 2021-2028]",Democrat
