Senate Vote #267 2023-10-25T14:18:00 - S.Amdt. 1237 (Rubio) to H.R. 4366: To prohibit the use of funds to implement the final rule regarding energy efficient standards for certain subsidized housing.
person,state,district,vote,name,party
412549,MT,,Yea,Sen. Steve Daines [R],Republican
412555,ND,,Yea,Sen. Kevin Cramer [R],Republican
412556,NE,,Yea,Sen. Deb Fischer [R],Republican
412568,OK,,Yea,Sen. Markwayne Mullin [R],Republican
412573,TX,,Yea,Sen. Ted Cruz [R],Republican
412582,VA,,Nay,Sen. Timothy “Tim” Kaine [D],Democrat
412598,NJ,,Nay,Sen. Cory Booker [D],Democrat
412665,AK,,Yea,Sen. Dan Sullivan [R],Republican
412667,IA,,Yea,Sen. Joni Ernst [R],Republican
412668,NC,,Yea,Sen. Thom Tillis [R],Republican
412669,SD,,Yea,Sen. Mike Rounds [R],Republican
412679,LA,,Yea,Sen. John Neely Kennedy [R],Republican
412680,NH,,Nay,Sen. Margaret “Maggie” Hassan [D],Democrat
412681,NV,,Nay,Sen. Catherine Cortez Masto [D],Democrat
412704,KS,,Yea,Sen. Roger Marshall [R],Republican
412712,NC,,Yea,Sen. Ted Budd [R],Republican
412715,NV,,Nay,Sen. Jacky Rosen [D],Democrat
412742,MN,,Nay,Sen. Tina Smith [D],Democrat
412743,MS,,Yea,Sen. Cindy Hyde-Smith [R],Republican
412838,FL,,Yea,Sen. Rick Scott [R],Republican
412839,IN,,Yea,Sen. Mike Braun [R],Republican
412840,MO,,Yea,Sen. Joshua “Josh” Hawley [R],Republican
412841,UT,,Yea,Sen. Mitt Romney [R],Republican
456794,AZ,,Nay,Sen. Mark Kelly [D],Democrat
456796,AL,,Yea,Sen. Tommy Tuberville [R],Republican
456797,CO,,Nay,Sen. John Hickenlooper [D],Democrat
456798,TN,,Yea,Sen. Bill Hagerty [R],Republican
456856,CA,,Not Voting,Sen. Alejandro “Alex” Padilla [D],Democrat
456857,GA,,Nay,Sen. Jon Ossoff [D],Democrat
456858,GA,,Nay,Sen. Raphael Warnock [D],Democrat
456874,AL,,Yea,Sen. Katie Britt [R],Republican
456875,MO,,Yea,Sen. Eric Schmitt [R],Republican
456876,OH,,Yea,Sen. J.D. (James) Vance [R],Republican
456877,PA,,Nay,Sen. John Fetterman [D],Democrat
456952,NE,,Yea,Sen. Pete Ricketts [R],Republican
456954,CA,,Nay,Sen. Laphonza Butler [D],Democrat
